year,uvazovano,napad,vazba,delka_vazb,share_vazba,share_napad
2008,23651,108439,3774,3.5930047,.15957043,.21810418
2009,24091,108599,3591,3.5892508,.14905982,.22183445
2010,21082,100946,3906,3.7539682,.18527654,.20884433
2011,21276,103624,3973,3.7461617,.18673623,.20531923
2012,20821,102061,3533,3.9116898,.16968445,.20400545
2013,22426,106507,3702,3.8003781,.16507626,.21055894
2014,20357,103099,3459,3.9248338,.16991699,.197451
2015,17448,91357,3126,3.8506079,.17916094,.19098701
2016,15319,83222,2942,3.9870837,.19204909,.18407393
2017,12294,65184,1807,3.2623131,.14698227,.18860456
